RA,Dec,MagV,Identifier,Name,Bayer,HR,HD,IAUboundary
106.649855,-12.39395018,6.5,HIP 34297,-,-,2679,53975,CMa
106.6698588,-11.29401606,5.7,-,-,-,2678,53974A,CMa
106.6698613,-11.29401101,5.39,HIP 34301,-,FN CMa,2678,53974,CMa
106.7186366,-24.96057977,6.088,HIP 34318,-,-,2686,54173,CMa
106.7769635,4.910580944,6.088,HIP 34338,-,-,2676,53929,Mon
106.7794907,-40.89326951,5.783,HIP 34339,-,D Pup,2691,54475,Pup
106.8053386,-51.96827369,5.952,HIP 34349,-,-,2698,54732,Car
106.8178139,-59.71641615,6.47,HIP 34350,-,-,-,54967,Car
106.8433275,34.00928883,5.93,HIP 34358,-,-,2665,53686,Gem
106.8441142,-23.84071495,5.83,HIP 34360,-,FV CMa,2690,54309,CMa
106.8536595,28.17669822,6.464,HIP 34367,-,-,2669,53744,Gem
106.9562041,7.471214725,5.739,HIP 34387,-,-,2682,54079,CMi
107.0553012,33.83238946,6.3,HIP 34428,-,-,2673,53899,Gem
107.0918313,15.93067662,5.476,HIP 34440,-,45 Gem,2684,54131,Gem
107.0978502,-26.39319958,1.84,HIP 34444,Wezen,δ Canis Majoris,2693,54605,CMa
107.151009,37.44509715,6.185,HIP 34462,-,-,2675,53925,Aur
107.1765428,-70.49709075,5.623,HIP 34473,-,γ 1 Volantis,2735,55864,Vol
107.1869404,-70.4989304,3.746,HIP 34481,-,γ 2 Volantis,2736,55865,Vol
107.2127839,-39.6556553,4.83,HIP 34495,-,A Pup,2702,54893,Pup
107.3343721,-10.3465653,6.21,HIP 34536,-,-,2694,54662,Mon
107.3890136,-16.23450917,6.08,HIP 34561,-,OS CMa,2699,54764,CMa
107.4292652,-25.2310336,5.69,HIP 34579,-,LZ CMa,2704,54912,CMa
107.5278264,21.24698391,6.42,HIP 34608,-,-,2692,54563,Gem
107.5390322,-18.68564059,6.23,HIP 34617,-,-,2705,54958,CMa
107.5570063,-4.23710696,4.92,HIP 34622,-,20 Mon,2701,54810,Mon
107.5805032,-27.49151916,5.448,HIP 34624,-,-,2708,55070,CMa
107.6978449,-48.93209712,5.09,HIP 34670,-,-,2719,55526,Pup
107.7627172,-3.898014582,6.5,HIP 34688,-,-,-,54990,Mon
107.7848763,30.24516377,4.42,HIP 34693,-,τ Geminorum,2697,54719,Gem
107.8461138,26.85658899,5.75,HIP 34722,-,47 Gem,2700,54801,Gem
107.8483994,-0.301929205,5.428,HIP 34724,-,21 Mon,2707,55057,Mon
107.9138605,39.32055034,4.886,HIP 34752,-,63 Aur,2696,54716,Aur
107.9233532,-20.88306099,5.825,HIP 34758,-,-,2716,55344,CMa
107.9451968,16.97632199,6.5,HIP 34763,-,-,-,54986,Gem
107.9640959,5.654703025,6.059,HIP 34768,-,-,2710,55111,CMi
107.9660853,-0.49276717,4.15,HIP 34769,-,δ Monocerotis,2714,55185,Mon
108.0082766,-63.19007326,6.19,-,-,-,2754,56239A,Car
108.0170385,-30.82136703,6.076,HIP 34782,-,-,2720,55568,CMa
108.0312163,5.474346303,6.152,HIP 34789,-,-,2713,55184,CMi
108.0508946,-25.9425878,5.897,HIP 34798,-,26 CMa,2718,55522,CMa
108.0658625,-40.49882094,5.31,HIP 34802,-,E Pup,2727,55719,Pup
108.1075967,-36.54438364,6.055,-,-,-,2726,55718A,Pup
108.1099009,24.12859389,5.85,HIP 34819,-,48 Gem,2706,55052,Gem
108.1401047,-46.75930461,4.49,HIP 34834,-,QW Pup,2740,55892,Pup
108.15,-27.6667,-0.1,-,-,NAME CMa Dwarf Galaxy,-,-,CMa
108.2799757,-11.25134221,5.752,HIP 34888,-,-,2723,55589,CMa
108.3056275,-45.1827376,4.874,HIP 34899,-,OU Pup,2746,56022,Pup
108.342816,16.15896422,5,HIP 34909,-,51 Gem,2717,55383,Gem
108.3474986,51.42874481,5.5,HIP 34912,-,UY Lyn,2703,54895,Lyn
108.3501043,-22.67424163,5.96,HIP 34914,-,-,2730,55762,CMa
108.3846606,-44.63970886,5.1,HIP 34922,-,L2 Puppis,2748,56096,Pup
108.4018727,-27.35635889,6.101,HIP 34924,-,GY CMa,2734,55857,CMa
108.4516044,-22.905778,6.27,HIP 34940,-,-,2733,55856,CMa
108.485,-30.758,3.6,-,-,Cl Collinder 132,-,-,CMa
108.4889071,-30.33979222,6.306,HIP 34954,-,-,2743,55985,CMa
108.4918204,71.81658523,6.359,HIP 34956,-,-,2681,54070,Cam
108.503,-25.724,6.5,-,-,NGC 2354,-,-,CMa
108.5452087,-3.901778118,5.94,HIP 34975,-,-,2731,55775,Mon
108.5633822,-26.35250805,4.65,HIP 34981,-,27 CMa,2745,56014,CMa
108.5646639,-9.947532915,5.882,HIP 34982,-,-,2732,55832,Mon
108.5835947,3.111417264,5.343,HIP 34987,-,-,2729,55751,CMi
108.6177206,-10.31624551,6.03,HIP 34999,-,-,2739,55879,Mon
108.6359203,12.11582403,5.702,HIP 35005,-,-,2728,55730,CMi
108.6589192,-48.27192834,4.76,HIP 35020,-,-,2762,56456,Pup
108.6749094,24.88498429,5.82,HIP 35025,-,52 Gem,2725,55621,Gem
108.6917398,-46.84967132,5.715,HIP 35029,-,PR Pup,2761,56455,Pup
108.7027251,-26.77266756,3.82,HIP 35037,-,ω Canis Majoris,2749,56139,CMa
108.7131717,-27.03799518,5.582,HIP 35044,-,-,2750,56160,CMa
108.7381379,-41.42639477,5.942,HIP 35054,-,-,2759,56410,Pup
108.8308633,-0.161284547,6.42,HIP 35080,-,24 Mon,2744,56003,Mon
108.8377839,-30.6864494,5.337,HIP 35083,-,-,2756,56342,CMa
108.8384422,-52.49922417,5.947,HIP 35084,-,-,2767,56705,Car
108.9073395,45.4094874,6.5,HIP 35113,-,-,-,55576,Lyn
108.9142894,7.977743713,5.82,HIP 35120,-,-,2747,56031,CMi
108.9301736,-10.58360286,5.94,HIP 35127,-,-,2752,56207,Mon
108.9470691,-23.74027674,6.34,HIP 35132,-,-,2755,56341,CMa
108.9881964,27.89742098,5.71,HIP 35152,-,53 Gem,2738,55870,Gem
109.0606361,-15.5856906,5.447,HIP 35180,-,-,2758,56405,CMa
109.0644716,-46.77453323,5.622,HIP 35181,-,-,2771,56813,Pup
109.1327076,-38.3189224,5.797,HIP 35202,-,-,2769,56733,Pup
109.1458034,-27.88117905,4.64,HIP 35205,-,-,2766,56618,CMa
109.1534773,-23.31559396,4.79,HIP 35210,-,-,2764,56577,CMa
109.159817,-23.31095212,5.79,HIP 35213,-,-,-,56578,CMa
109.2058676,-36.59263291,5.009,HIP 35226,-,-,2770,56779,Pup
109.2075915,-67.95715268,3.99,HIP 35228,-,δ Volantis,2803,57623,Vol
109.2384006,-30.8970102,6.32,HIP 35241,-,-,2768,56731,CMa
109.2641779,26.68949249,6.389,HIP 35253,-,-,-,56176,Gem
109.2856533,-37.09747115,2.7,HIP 35264,-,π Puppis,2773,56855,Pup
109.2857602,-37.09763321,6.49,HIP 35264,-,* pi. Pup B,2773,56855B,Pup
109.3819274,-6.679994885,6.274,HIP 35301,-,-,2765,56614,Mon
109.3904936,52.13106736,5.918,HIP 35304,-,-,2737,55866,Lyn
109.4276851,38.87626282,6.485,HIP 35317,-,-,-,56171,Aur
109.4500488,-26.79755785,6.434,HIP 35326,-,-,2774,56876,CMa
109.5092271,40.88339366,5.87,HIP 35341,-,64 Aur,2753,56221,Aur
109.517048,30.9558723,6.196,HIP 35345,-,-,2757,56386,Gem
109.5177055,-43.98678579,5.839,HIP 35347,-,M Pup,2789,57197,Pup
109.5232455,16.54038599,3.559,HIP 35350,-,λ Geminorum,2763,56537,Gem
109.5766399,-36.73395237,4.67,HIP 35363,-,NV Pup,2787,57150,Pup
109.6332387,49.46475579,5.05,HIP 35384,-,-,2751,56169,Lyn
109.6396355,-39.2102842,5.243,HIP 35393,-,F Pup,2791,57240,Pup
109.6591058,-36.74273748,5.11,HIP 35406,-,NW Pup,2790,57219,Pup
109.6682456,-24.55869951,4.95,HIP 35412,-,UW CMa,2781,57060,CMa
109.6770208,-24.95436132,4.4,HIP 35415,-,τ Canis Majoris,2782,57061,CMa
109.7136406,-26.58585586,5.288,HIP 35427,-,-,2786,57146,CMa
109.7580024,-19.2803061,6.094,HIP 35442,-,-,2785,57118,CMa
109.8070187,-33.72716376,6.3,HIP 35463,-,-,2794,57299,Pup
109.8432267,2.74067607,5.887,HIP 35476,-,-,2778,56989,CMi
109.8674105,-16.39524869,5.7,HIP 35487,-,R CMa,2788,57167,CMa
109.9485223,7.14294775,5.91,HIP 35509,-,-,2779,57006,CMi
110.028508,15.14292858,6.442,HIP 35548,-,-,2780,57049,Gem
110.0307274,21.98230405,3.53,HIP 35550,Wasat,δ Geminorum,2777,56986,Gem
110.0892616,-52.31152522,5.953,HIP 35564,-,-,2813,57852,Car
110.0910714,-52.30924405,6.443,-,-,-,-,57853,Car
110.1616907,-52.08592245,5.367,HIP 35589,-,-,2815,57917,Car
110.2288141,-26.9638368,5.986,HIP 35611,-,-,2800,57593,CMa
110.2428542,-14.3604902,5.584,HIP 35615,-,-,2796,57478,CMa
110.2629109,42.65591255,6.32,HIP 35623,-,-,2775,56941,Aur
110.2680503,-25.89164492,5.886,HIP 35626,-,MZ CMa,2802,57615,CMa
110.3229153,45.22817703,5.739,HIP 35643,-,-,2776,56963,Lyn
110.4869241,20.44365813,5.08,HIP 35699,-,56 Gem,2795,57423,Gem
110.5085609,-8.979379534,6.43,HIP 35707,-,-,2806,57682,Mon
110.5109067,36.7605836,5.12,HIP 35710,-,65 Aur,2793,57264,Aur
110.5144945,0.177121666,5.971,HIP 35712,-,-,2801,57608,CMi
110.5558658,38.99592227,6.4,HIP 35725,-,-,2792,57263,Aur
110.5563722,-19.01660122,4.95,HIP 35727,-,-,2812,57821,CMa
110.5716033,59.90199665,6.35,HIP 35735,-,47 Cam,2772,56820,Cam
110.5774605,-2.979128679,6.238,HIP 35737,-,-,2807,57708,Mon
110.6057914,-5.982828914,5.816,HIP 35749,-,-,2811,57749,Mon
110.6179979,0.700831693,6.43,HIP 35751,-,-,-,57707,CMi
110.7169097,55.28139368,5.78,HIP 35785,-,19 Lyn,2784,57103,Lyn
110.7529057,-31.92377845,5.43,HIP 35795,-,NO CMa,2819,58155,CMa
110.8672374,22.94534813,6.17,HIP 35842,-,58 Gem,2810,57744,Gem
110.8687971,25.05053128,5.022,HIP 35846,-,57 Gem,2808,57727,Gem
110.8708026,-27.83429483,5.356,HIP 35848,-,-,2822,58215,CMa
110.8828962,-32.20206558,5.39,HIP 35855,-,-,2823,58286,CMa
110.9930718,-35.83783694,6.297,HIP 35893,-,-,2829,58420,Pup
111.0237595,-29.30310551,2.45,HIP 35904,Aludra,η Canis Majoris,2827,58350,CMa
111.0352815,40.67238886,5.188,HIP 35907,-,66 Aur,2805,57669,Aur
111.0718081,-22.91275692,6.2,HIP 35920,-,-,2826,58346,CMa
111.1152031,15.51719675,6.41,HIP 35933,-,OT Gem,2817,58050,Gem
111.139388,27.63785597,5.759,HIP 35941,-,59 Gem,2816,57927,Gem
111.1546888,-71.47065878,6.48,HIP 35946,-,11 G. Vol,-,59640,Vol
111.1674472,-16.20147285,5.19,HIP 35951,-,-,2825,58343,CMa
111.1827257,-31.80890474,5.28,HIP 35957,-,-,2834,58535,CMa
111.2120112,-19.01228311,6.272,HIP 35975,-,-,2831,58439,CMa
111.2378547,51.88725864,5.783,HIP 35984,-,-,2804,57646,Lyn
111.2424168,11.66952291,5.361,HIP 35987,-,1 CMi,2820,58187,CMi
111.2846474,-13.75197699,5.78,HIP 35998,-,-,2832,58461,CMa
111.3332265,-21.98258944,6.038,HIP 36017,-,-,2839,58585,CMa
111.3414032,81.25746992,6.29,HIP 36019,-,-,2709,55075,Cam
111.3552823,-25.21776509,5.782,HIP 36024,-,-,2841,58612,CMa
111.4087448,-79.09419106,5.522,HIP 36039,-,ϵ Mensae,2919,60816,Men
111.412082,9.276090422,4.986,HIP 36041,-,ϵ Canis Minoris,2828,58367,CMi
111.4290838,-31.73872161,6.297,HIP 36045,-,-,2847,58766,CMa
111.4316485,27.79807971,3.79,HIP 36046,-,ι Geminorum,2821,58207,Gem
111.4633331,-5.774961933,5.962,HIP 36055,-,-,2833,58526,Mon
111.5910412,-51.0184807,5.081,HIP 36114,-,-,2862,59219,Car
111.615777,10.6080677,6.377,HIP 36123,-,-,2836,58552,CMi
111.6717204,11.00884367,6.375,HIP 36141,-,-,2840,58599,CMi
111.6769402,-34.14069429,5.884,HIP 36143,-,-,2856,59026,Pup
111.6785509,49.21152707,4.61,HIP 36145,-,21 Lyn,2818,58142,Lyn
111.7347018,20.25755477,5.935,HIP 36156,-,61 Gem,2837,58579,Gem
111.7478445,-23.08602491,5.56,HIP 36168,-,FY CMa,2855,58978,CMa
111.7832913,-17.86486368,5.62,HIP 36186,-,NR CMa,2853,58954,CMa
111.7876739,8.289315763,2.89,HIP 36188,Gomeisa,β Canis Minoris,2845,58715,CMi
111.8576554,66.33157118,6.462,HIP 36211,-,-,2809,57742,Cam
111.9289031,-22.85919055,5.97,HIP 36236,-,-,2860,59136,Pup
111.9348222,21.44527903,5.24,HIP 36238,-,63 Gem,2846,58728,Gem
111.9652492,-11.55686781,6.11,-,-,-,2859,59067,CMa
111.9964995,-29.15589871,5.542,HIP 36258,-,-,2863,59256,Pup
112.0080342,-26.83897609,6.26,HIP 36264,-,-,-,59235,Pup
112.0086452,6.941970608,5.22,HIP 36265,-,η Canis Minoris,2851,58923,CMi
112.0408095,8.92552448,4.3,HIP 36284,-,γ Canis Minoris,2854,58972,CMi
112.1662596,27.55293997,6.36,HIP 36325,-,-,-,58898,Gem
112.1968994,15.10982364,6.22,HIP 36340,-,-,2858,59059,Gem
112.2131385,-31.84839592,6.37,HIP 36345,-,-,2870,59499,Pup
112.2141992,-64.50980574,6.39,HIP 36346,-,12 G. Vol,2888,60150,Vol
112.2145294,48.18393893,5.71,HIP 36348,-,-,2844,58661,Lyn
112.2192788,46.31461962,6.41,HIP 36351,-,-,-,58681,Lyn
112.2704781,-31.45621792,5.768,HIP 36362,-,-,2873,59550,Pup
