RA,Dec,MagV,Identifier
347.7789501567861,+53.0582366466417,7.2,HIP 114482
345.6828851501361,+55.2363872892301,6.525,HIP 113797
351.5856845546172,+53.1669978175973,7.13,HIP 115689
350.9100856309309,+54.0309652534995,6.84,HIP 115484
352.2168037499487,+53.6668236829683,6.92,HIP 115899
354.3010792559372,+55.8765802397406,7.1,HIP 116549
353.1457905436874,+53.6863564691013,6.81,HIP 116196
359.7996219777468,+53.5631694301677,7.07,HIP 118259
359.2317851867992,+55.8403402196978,6.57,HIP 118057
359.2853016137398,+55.7057043416665,5.561,HIP 118077
357.6582497410611,+54.1982120250588,7.17,HIP 117573
356.2016503526832,+55.7996868571808,6.44,HIP 117133
356.0952093612627,+55.2063878612578,7.16,HIP 117103
003.0337003779,+53.6238902781,6.81,HIP 981
001.4155186561778,+55.7098941744414,6.98,HIP 472
006.4239543951955,+54.9942071168559,6.75,HIP 2024
006.5265074699274,+55.4909312922814,7.11,HIP 2063
007.7665489174783,+55.7026142640216,6.56,HIP 2440
005.6991018742997,+54.6454381634538,7.14,HIP 1794
004.1071548532912,+53.9456428572082,7.22,HIP 1310
009.1937631938438,+54.9573466833238,6.77,HIP 2901
011.3215549563489,+55.2213972664077,5.41,HIP 3544
011.5627196777875,+55.3053812815482,6.51,HIP 3611
008.8713422704881,+54.2035007295072,6.95,HIP 2782
009.0346246803513,+54.1684485396358,5.076,HIP 2854
008.8970155432070,+53.4889141238138,7.27,HIP 2795
009.2428507775,+53.8969075864,3.66,HIP 2920
008.2933104224175,+54.8949851245803,5.922,HIP 2611
008.0473794385664,+53.8151035065126,6.91,HIP 2537
008.1980363815664,+54.1199461054903,6.921,HIP 2581
013.4483310835042,+52.6892936553389,6.31,HIP 4212
014.3102409979457,+54.9524417729600,7.15,HIP 4466
016.0099667467136,+52.5021621272568,5.977,HIP 4998
017.4677706464093,+54.7389648329824,6.74,HIP 5458
017.0941629340344,+54.2313637873738,7.11,HIP 5347
016.7894070414989,+53.4981851926812,6.29,HIP 5251
016.0691670683595,+54.2042470032161,6.83,HIP 5016
017.06831127,+54.92034067,5.17,HIP 5336
022.2532026240481,+51.6861326847507,7.01,HIP 6911
023.8506312373651,+53.3455708344701,6.846,HIP 7399
025.9115732786134,+52.8857803676696,6.74,HIP 8066
025.9009151963999,+51.5158366304974,6.65,HIP 8063
028.4759050537216,+49.9429639276011,6.86,HIP 8856
029.2170830765331,+52.4894184440688,7.06,HIP 9077
027.7380338118668,+51.9334187396394,5.951,HIP 8598
028.0390517985726,+50.7927961693298,5.689,HIP 8714
028.2113546997946,+51.4748374222019,6.3,HIP 8771
028.6872558408208,+50.2957588933517,6.82,HIP 8914
031.0548482083528,+51.9677888890306,6.661,HIP 9656
028.9454582887441,+51.6881463462113,7.25,HIP 8984
029.9430939233697,+49.4781380550573,7.22,HIP 9327
